Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
197,2003,SFO,7,299,511,3408,25,15,2279,16,337,41,38,37,26,1
198,2002,SFO,10,354,571,3457,23,10,2244,16,351,39,39,36,26,0
199,2001,SFO,12,318,506,3445,32,12,2244,16,282,47,47,25,18,0
200,2000,SFO,6,366,583,4239,32,10,1801,15,422,45,43,22,15,0
201,1999,SFO,4,324,560,3285,14,19,2095,14,453,31,30,23,21,1
202,1998,SFO,12,347,556,4256,41,15,2544,19,328,51,49,27,18,0
203,1997,SFO,13,278,432,3143,20,11,1969,16,265,38,38,36,29,0
204,1996,SFO,12,358,550,3659,24,16,1847,17,257,40,40,34,30,4
205,1995,SFO,11,432,644,4608,29,16,1479,19,258,54,51,28,20,0
206,1994,SFO,13,359,511,4163,37,11,1897,23,296,62,60,20,15,0
207,1993,SFO,10,354,524,4302,29,17,2133,26,295,61,59,26,16,0
208,1992,SFO,14,319,480,3880,29,9,2315,22,236,54,53,27,18,0
209,1991,SFO,10,325,522,3997,29,12,1861,19,239,50,49,28,14,1
210,1990,SFO,14,360,583,4177,28,16,1718,12,239,39,39,36,24,1
211,1989,SFO,14,339,483,4302,35,11,1966,14,253,51,49,36,29,0
212,1988,SFO,10,293,502,3377,21,14,2523,18,294,41,40,38,27,1
213,1987,SFO,13,322,501,3750,44,14,2237,11,253,59,55,23,16,1
214,1986,SFO,10,353,582,4096,21,20,1986,16,247,42,41,35,25,0
215,1985,SFO,10,331,550,3688,28,14,2232,20,263,53,52,21,13,1
216,1984,SFO,15,312,496,3901,32,10,2465,21,227,56,56,35,25,1
217,1983,SFO,10,339,528,3797,27,12,2257,17,293,51,51,30,25,0
218,1982,SFO,3,215,348,2502,17,11,740,6,206,25,23,17,12,0
219,1981,SFO,13,328,517,3543,20,13,1941,17,250,42,42,29,19,0
220,1980,SFO,6,363,597,3577,27,26,1743,10,415,39,33,19,15,1
221,1979,SFO,2,361,602,3641,18,21,1932,17,416,35,32,24,20,0
222,1978,SFO,2,190,435,1956,9,36,2091,14,350,25,24,23,15,0
223,1977,SFO,5,136,277,1508,9,17,2086,16,260,27,25,19,11,0
224,1976,SFO,8,155,306,1638,15,21,2447,14,190,30,26,28,16,2
225,1975,SFO,5,234,450,2560,15,19,1598,12,286,31,27,28,14,0
226,1974,SFO,6,170,361,2007,15,28,1981,10,236,27,25,24,11,0
227,1973,SFO,5,233,466,2481,9,25,1743,15,319,26,26,33,26,1
228,1972,SFO,8,217,380,2735,27,24,1616,11,249,42,41,29,18,0
229,1971,SFO,9,209,391,2577,18,24,2129,12,216,33,33,36,23,0
230,1970,SFO,10,226,383,2923,25,10,1580,13,267,41,39,31,21,2
231,1969,SFO,4,278,496,3158,22,26,1536,13,319,37,35,21,6,1
232,1968,SFO,7,239,417,2925,24,23,1784,11,310,39,36,24,11,0
233,1967,SFO,7,228,469,2654,16,26,1764,16,337,33,33,33,14,0
234,1966,SFO,6,261,500,2992,21,26,1790,12,325,39,38,31,16,0
235,2023,SEA,9,371,575,3910,23,12,1580,11,402,33,33,42,35,0
236,2022,SEA,9,399,573,3934,30,12,2042,12,401,42,41,37,34,0
237,2021,SEA,7,324,495,3432,30,7,2074,18,366,47,44,23,17,1
238,2020,SEA,12,388,563,3941,40,13,1971,15,371,53,49,24,24,3
239,2019,SEA,11,341,517,3791,31,6,2200,15,398,44,40,28,23,0
240,2018,SEA,10,280,427,3093,35,7,2560,15,347,51,48,27,22,0
241,2017,SEA,9,340,555,3657,34,12,1629,4,332,38,37,29,21,2
242,2016,SEA,10,368,567,4124,23,12,1591,13,292,35,29,37,33,1
243,2015,SEA,10,333,489,3790,34,8,2268,10,277,44,40,31,29,0
244,2014,SEA,12,287,454,3250,20,7,2762,20,254,41,41,37,31,1
245,2013,SEA,13,267,420,3236,27,9,2188,14,231,44,44,35,33,2
246,2012,SEA,11,259,405,3031,27,10,2579,16,245,48,46,27,24,0
247,2011,SEA,7,299,509,3105,15,14,1756,15,315,34,34,30,25,1
248,2010,SEA,7,324,544,3341,14,20,1424,13,407,31,31,30,25,1
249,2009,SEA,5,372,609,3503,20,19,1566,7,390,28,28,26,24,0
250,2008,SEA,4,262,474,2617,18,15,1768,10,392,30,30,27,24,0
251,2007,SEA,10,371,590,3964,30,13,1619,9,291,43,43,34,28,1
252,2006,SEA,9,292,512,3054,26,22,1923,8,341,36,36,31,25,0
253,2005,SEA,13,307,474,3458,25,10,2457,29,271,57,56,25,18,0
254,2004,SEA,9,304,532,3539,23,18,2095,17,373,40,40,25,23,0
255,2003,SEA,10,317,521,3618,27,16,2009,17,327,48,48,30,22,1
256,2002,SEA,7,361,587,4078,19,16,1740,17,369,38,38,29,23,0
257,2001,SEA,9,258,462,2836,15,12,1936,15,324,33,33,32,20,1
258,2000,SEA,6,308,507,2960,21,21,1720,10,405,33,33,26,21,1
259,1999,SEA,9,288,525,3397,25,16,1408,5,298,32,32,40,34,0
260,1998,SEA,8,273,480,3000,21,18,1626,11,310,41,41,24,19,0
261,1997,SEA,8,359,609,3959,26,21,1800,13,362,37,37,28,22,1
262,1996,SEA,7,261,494,3027,14,17,1997,16,376,27,27,34,28,0
263,1995,SEA,8,273,511,3092,19,23,2178,20,366,40,40,28,23,1
264,1994,SEA,6,253,498,2568,13,9,2084,16,323,26,25,24,20,1
265,1993,SEA,6,280,498,2654,13,18,2015,13,314,29,29,28,23,4
266,1992,SEA,2,230,476,1778,9,23,1596,4,312,14,14,22,14,0
267,1991,SEA,7,290,488,3108,15,26,1426,11,261,28,27,31,25,0
268,1990,SEA,9,265,448,2834,15,20,1749,18,286,34,33,32,23,0
269,1989,SEA,7,316,559,3204,21,23,1392,5,327,28,28,25,15,0
270,1988,SEA,9,245,437,2756,22,20,2086,14,329,39,39,28,22,0
